timestamp,symptom,category,severity,osi_layer,confidence,root_cause,feedback,source
2026-08-30T01:20:21,"Browsing to the intranet portal is slow the first time each morning, then fine.",Other,Sev3,Other,high,"The DNS record TTL for portal.college.local is configured to a very short duration (10 seconds), preventing effective client-side caching and causing frequent DNS lookups.",rejected,batch_test
2026-08-30T01:20:31,Branch A cannot reach Branch B at all; both branches can reach the Internet fine.,Routing,Sev1,L3,high,"OSPF neighbor adjacency fails to form between R1 and R2 across the WAN link, likely due to mismatched OSPF settings (such as area ID, hello/dead timers, network mask) or a missing/passive network statement on the WAN interface.",accepted,batch_test
2026-08-30T01:20:38,"Traffic from VLAN 30 to the server farm VLAN takes a slow, extra hop through the old core switch.",Routing,Sev2,L3,high,"A static route configured for the 192.168.50.0/24 subnet has a default Administrative Distance of 1, which overrides the optimal dynamic OSPF route (AD 110) and forces traffic through the older core switch.",accepted,batch_test
2026-08-30T01:20:45,"After a router reboot, the whole new branch lost its route to the Internet.",Routing,Sev1,L3,high,"The static default route was not saved to NVRAM before the router was rebooted, causing the running configuration to be lost.",accepted,batch_test
2026-08-30T01:20:56,"Users can reach the server subnet but replies never come back, one-way connectivity.",Routing,Sev2,L3,high,"The Core router lacks a route back to the newly added subnet 192.168.70.0/24 behind R4, causing return traffic to be dropped.",accepted,batch_test
2026-08-30T01:21:07,One specific server can be pinged by everyone except the admin's own PC.,NAT/ACL,Sev3,L3,high,Extended access list 120 explicitly blocks ICMP traffic from the admin's PC (192.168.30.99) to the server (192.168.50.10) on line 10.,rejected,batch_test
2026-08-30T01:21:54,"Guest Wi-Fi users can reach the internal file server, which should be blocked.",NAT/ACL,Sev2,L3,high,"Access list 130 contains a 'permit ip any any' entry without any prior deny rules, allowing Guest Wi-Fi users full access to internal subnets.",rejected,batch_test
2026-08-30T01:22:01,"No PC in the building can reach the Internet, but internal traffic between VLANs is fine.",NAT/ACL,Sev1,L3,high,"The router's outside WAN interface is missing the 'ip nat outside' configuration, preventing NAT overload from translating internal traffic heading to the Internet.",accepted,batch_test
2026-08-30T01:32:23,"The whole floor's network intermittently freezes for a few seconds, then recovers, over and over.",Other,Sev1,L2,high,"A redundant link was added between switches without EtherChannel or active Spanning Tree blocking, resulting in a Layer 2 switching loop and broadcast storm.",accepted,batch_test
2026-08-30T01:32:33,"Every time someone plugs a laptop into a wall port, that whole switch drops offline for about 30 seconds.",Other,Sev2,L2,high,PortFast is disabled on edge access interface Fa0/15. Connecting a host causes the port to transition through standard 30-second Spanning Tree listening/learning states and generates Topology Change Notifications (TCNs) that disrupt network convergence.,accepted,batch_test
2026-08-30T01:53:58,"The whole floor's network intermittently freezes for a few seconds, then recovers, over and over.",Other,Sev1,L2,high,Connecting a second redundant link without EtherChannel configuration or functioning STP port blocking has caused a Layer 2 switching loop and broadcast storm.,accepted,batch_test
2026-08-30T01:54:09,"Every time someone plugs a laptop into a wall port, that whole switch drops offline for about 30 seconds.",Other,Sev2,L2,high,"The edge port FastEthernet0/15 has STP PortFast disabled, causing it to undergo full Spanning Tree listening and learning states for 30 seconds and trigger topology change notifications whenever a device plugs in.",accepted,batch_test
2026-08-30T01:54:39,A student's PC worked fine yesterday but today the port went straight to err-disabled the moment they plugged in.,Other,Sev2,L2,high,"A port security violation occurred on interface FastEthernet0/9 because a new or unauthorized MAC address was detected, exceeding the maximum allowed limit of 1 MAC address.",accepted,batch_test
2026-08-30T01:55:18,"A small unmanaged switch was added under a desk to add more ports, and now that whole port is down.",Other,Sev3,L2,high,"Connecting an unmanaged switch introduced multiple MAC addresses to interface FastEthernet0/22, exceeding the maximum limit of 1 allowed MAC address and triggering a port-security violation that placed the port into err-disabled shutdown mode.",accepted,batch_test
2026-08-30T01:55:27,"CDP/console warnings about a 'native VLAN mismatch' are showing up, and untagged traffic between two switches is landing in the wrong VLAN.",Other,Sev2,L2,high,"There is a native VLAN mismatch on the trunk link between Sw1 and Sw2, with Sw1 using VLAN 1 and Sw2 using VLAN 99.",accepted,batch_test
2026-08-30T01:55:37,A new switch was added to the trunk and now several unrelated VLANs across the building are seeing each other's broadcast traffic.,Other,Sev1,L2,high,"Trunk encapsulation negotiation failed on interface Gi0/2, causing the port's operational mode to fall back to static access while connected to a trunk, leaking broadcast traffic across VLANs.",accepted,batch_test
2026-08-30T01:55:48,"File transfers to one specific server are extremely slow, but ping response times look normal.",Other,Sev3,L2,high,"A duplex mismatch exists between Switch 4 port Gi0/8 (configured for full-duplex) and the Server NIC (configured for half-duplex), causing packet retransmissions and severe throughput degradation during high-volume file transfers.",rejected,batch_test
2026-08-30T01:55:58,"An old printer occasionally drops mid-print job with communication errors, but reconnects a moment later.",Other,Sev3,L1,high,"A duplex mismatch exists on interface FastEthernet0/20, where the switch negotiated to half-duplex while the connected printer is operating at full-duplex, causing late collisions during large print transmissions.",rejected,batch_test
2026-08-30T01:56:09,"Small pings between two branches succeed, but large file transfers and some websites time out or hang.",Other,Sev2,L3,high,"Large packets exceed the GRE tunnel MTU of 1476 bytes and are dropped because Path MTU Discovery (PMTUD) is blocked by an ACL, preventing TCP endpoints from negotiating a smaller segment size.",accepted,batch_test
2026-08-30T01:56:19,A pair of bonded uplink cables between two switches is only carrying half the expected throughput.,Other,Sev2,L2,high,"GigabitEthernet0/2 is suspended or down from EtherChannel Group 1, likely due to a port configuration mismatch (such as speed, duplex, switchport mode, or allowed VLANs) with GigabitEthernet0/1 or the neighbor switch.",accepted,batch_test
2026-08-30T01:56:29,"Right after bundling two uplinks into an EtherChannel, the whole trunk between the two switches went completely down.",Other,Sev1,L2,high,There is an EtherChannel protocol mismatch between the switches because one side is configured for LACP (active) while the other side is using PAgP (desirable).,accepted,batch_test
2026-08-30T01:56:36,"Log timestamps across different devices don't line up, making it hard to trace an incident across the network.",Other,Sev3,Other,high,"R1 is missing an NTP server configuration, leaving the router with no NTP associations and an unsynchronized clock.",rejected,batch_test
2026-08-30T01:56:45,"After an outage last night, the team can't find any log entries explaining what happened.",Other,Sev2,Other,high,"Syslog logging is disabled on router R2, preventing log messages from being generated and sent to the central syslog server.",rejected,batch_test
2026-08-30T01:57:11,"After a planned maintenance window, the backup router is now acting as the active gateway even though the primary is back online and healthy.",IP Addressing,Sev3,L3,high,"R1 is missing the HSRP preempt command and has a lower priority (100) than R2 (110), preventing R1 from taking back the active gateway role when it recovered.",accepted,batch_test
2026-08-30T01:57:21,"Two routers that should be OSPF neighbors never form an adjacency, even though the link between them is up.",Routing,Sev1,L3,high,"OSPF area ID mismatch between R3 and R4 on subnet 10.0.0.0/24. R3 is configured for area 0 while R4 is configured for area 1, preventing neighbor adjacency.",accepted,batch_test
2026-08-30T01:57:31,New VoIP phones get an IP address but never find their call manager / boot server and stay stuck at a blank screen.,DHCP,Sev2,Other,high,"The DHCP pool 'VLAN-VOICE' is missing Option 150, which provides the IP phones with the TFTP/Call Manager server IP address needed to boot.",rejected,batch_test
2026-08-30T01:58:20,Staff Wi-Fi keeps prompting for a password repeatedly and most devices fail to connect at all.,Physical,Sev2,L3,high,"The WLC cannot communicate with the RADIUS server at 192.168.5.20, which is marked as DEAD, preventing 802.1X authentication for Staff Wi-Fi clients.",rejected,batch_test
2026-08-30T01:59:08,"One student's phone connects to Wi-Fi fine, but a nearly identical phone belonging to their roommate can't see the network at all.",Physical,Sev3,L2,high,The roommate's phone cannot connect to the Wi-Fi network because MAC filtering is enabled on the WLC and the phone's MAC address is not in the allowed list.,accepted,batch_test
2026-08-30T01:59:18,"A brand-new VLAN was created and switched fine, but devices on it can't reach any other VLAN at all.",IP Addressing,Sev1,L3,high,"The router lacks a subinterface configured for VLAN 70 on GigabitEthernet0/0, preventing inter-VLAN routing for traffic originating from VLAN 70.",accepted,batch_test
2026-08-30T02:10:19,"A time-based restriction was supposed to block student lab access after 10 PM, but students report it never works at any time of day.",NAT/ACL,Sev2,Other,high,"The router clock is not synchronized via NTP and is set to an incorrect time, preventing the 'After-Hours' time-range object from evaluating correctly and activating when expected.",edited,
2026-08-30T02:12:51,One specific server can be pinged by everyone except the admin's own PC.,NAT/ACL,Sev3,L3,high,"Access list 120 sequence 10 explicitly denies ICMP traffic from the admin's PC (192.168.30.99) to the target server (192.168.50.10), blocking pings from only that host.",accepted,
2026-08-30T02:13:09,One specific server can be pinged by everyone except the admin's own PC.,NAT/ACL,Sev3,L3,high,Extended access list 120 contains an explicit rule (line 10) denying ICMP traffic from the admin's PC (192.168.30.99) to the target server (192.168.50.10).,accepted,
2026-08-30T02:15:54,"Traffic from VLAN 30 to the server farm VLAN takes a slow, extra hop through the old core switch.",Routing,Sev2,L3,high,"A manually configured static route for 192.168.50.0/24 has an Administrative Distance of 1, which overrides the dynamic OSPF route (AD 110) and routes traffic through a sub-optimal path.",accepted,
2026-08-30T02:17:01,"Traffic from VLAN 30 to the server farm VLAN takes a slow, extra hop through the old core switch.",Routing,Sev2,L3,high,"A static route with an administrative distance of 1 points to the old core switch, overriding the optimal OSPF route (administrative distance 110).",accepted,
2026-08-30T02:24:34,A newly installed IP phone shows “Registering” continuously.,VLAN,Sev3,L3,high,"The DHCP pool for the voice VLAN (VLAN 35) is missing Option 150, which prevents the IP phone from discovering the TFTP/Call Manager server address needed for registration.",accepted,
2026-08-30T02:26:16,"After adding a second DHCP server, clients intermittently receive incorrect network settings.",DHCP,Sev3,L3,high,"Two DHCP servers are operating on the same Layer-2 domain without scope coordination or DHCP snooping, creating a race condition where clients intermittently receive improper network configurations from the secondary server.",accepted,
2026-08-30T02:27:56,OSPF routes disappear whenever the WAN link briefly flaps.,Routing,Sev3,L3,high,Aggressive OSPF hello and dead timers combined with lack of link carrier-delay or dampening cause immediate OSPF adjacency teardown and route removal during transient WAN link flaps.,accepted,
2026-08-30T02:34:45,Devices in VLAN 80 receive IP addresses from the wrong subnet.,DHCP,Sev3,L3,high,"The VLAN 80 interface (SVI or subinterface) is likely configured with an incorrect IP address from the 192.168.90.0/24 subnet, causing the DHCP relay agent to forward requests using the wrong gateway IP (giaddr) and pulling leases from the wrong pool.",accepted,
2026-08-30T02:35:02,Devices in VLAN 80 receive IP addresses from the wrong subnet.,DHCP,Sev3,L3,high,"The VLAN 80 interface (SVI or subinterface) is likely configured with an incorrect IP address from the 192.168.90.0/24 subnet, causing the DHCP relay agent to forward requests using the wrong gateway IP (giaddr) and pulling leases from the wrong pool.",accepted,
2026-08-30T02:35:34,Devices in VLAN 80 receive IP addresses from the wrong subnet.,DHCP,Sev3,L3,high,"The VLAN 80 interface (SVI or subinterface) is likely configured with an incorrect IP address from the 192.168.90.0/24 subnet, causing the DHCP relay agent to forward requests using the wrong gateway IP (giaddr) and pulling leases from the wrong pool.",accepted,
2026-08-30T02:36:53,"Internet connectivity works, but connections to an external application randomly time out.",NAT/ACL,Sev2,L3,high,"The edge router is experiencing PAT port exhaustion (NAT starvation) because 500 users are sharing a single public IP address, causing random connection timeouts when no ephemeral ports are available.",accepted,
2026-08-30T02:38:25,One workstation repeatedly loses its network connection while other PCs on the same switch remain stable.,VLAN,Sev3,L1,high,A duplex/speed mismatch or a faulty physical cable on interface FastEthernet 0/18 is causing intermittent packet loss and link instability for the connected workstation.,accepted,
2026-08-30T02:40:09,Only wireless users cannot access the internet; wired users work normally.,DNS,Sev2,L2,high,"The WLAN on the Wireless LAN Controller (WLC) is incorrectly mapped to the default management interface instead of the VLAN 70 interface, preventing wireless clients from associating with the correct subnet and receiving DHCP leases.",accepted,
2026-08-30T02:42:12,Only wireless users cannot access the internet; wired users work normally.,VLAN,Sev2,L2,high,"The WLAN on the Wireless LAN Controller (WLC) is incorrectly mapped to the default management interface instead of the VLAN 70 interface, preventing wireless clients from reaching the DHCP server and obtaining IP addresses.",accepted,
2026-08-30T02:43:27,All devices connected to Switch 3 lose connectivity after the uplink cable is replaced.,VLAN,Sev3,L2,high,"The uplink port Gi0/24 on Switch 3 or the corresponding core switch port is not actively trunking, likely due to a missing trunk configuration or DTP negotiation failure after the cable replacement.",accepted,
2026-08-30T02:44:25,All devices connected to Switch 3 lose connectivity after the uplink cable is replaced.,NAT/ACL,Sev3,L2,high,"The uplink port Gi0/24 on Switch 3 or the corresponding core switch port is not actively trunking, likely due to a missing trunk configuration or DTP negotiation failure after the cable replacement.",accepted,
2026-08-30T02:46:02,Users can access websites by IP address but not by domain name.,IP Addressing,Sev3,Other,high,"The client devices are either configured with an incorrect DNS server IP address, or the DNS service is disabled on the server at 10.10.10.5.",accepted,
2026-08-30T02:46:37,Users can access websites by IP address but not by domain name.,IP Addressing,Sev3,Other,high,"The client devices are either configured with an incorrect DNS server IP address, or the DNS service is disabled on the server at 10.10.10.5.",accepted,
2026-08-30T02:48:22,A server can communicate with other servers but cannot communicate with clients in VLAN 30.,IP Addressing,Sev3,L3,high,"The server is likely missing its default gateway configuration or has an incorrect gateway configured, preventing it from routing traffic outside its local subnet to VLAN 30.",accepted,
2026-08-30T02:51:54,Branch users can reach the headquarters router but cannot reach the application server.,Routing,Sev3,L3,high,"The Branch router is missing a route to the Server VLAN subnet, meaning it can route traffic to the HQ WAN interface but does not know how to reach the application server's network.",accepted,
2026-08-30T02:52:23,Branch users can reach the headquarters router but cannot reach the application server.,Routing,Sev3,L3,high,"The Branch router is missing a route to the Server VLAN subnet, meaning it can route traffic to the HQ WAN interface but does not know how to reach the application server's network.",edited,
2026-08-30T02:53:55,Network becomes extremely slow every afternoon when students return to campus.,Routing,Sev3,L1,high,The 1-Gbps uplink between the access and core switches is saturated due to high traffic volume from hundreds of concurrent student clients during peak afternoon hours.,accepted,
2026-08-30T02:55:14,The server is reachable from the LAN but not from the internet.,NAT/ACL,Sev2,L3,high,"The edge router is likely missing the static NAT configuration mapping the server's private IP to a public IP, or an inbound ACL on the outside interface is blocking the traffic.",accepted,
